Image File,road,sidewalk,building,wall,fence,pole,light,sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motocycle,bicycle
10000.jpg,16.52,2.9,9.07,0,1.99,0.02,0,0,27.89,1.69,35.53,0,0,3.77,0,0,0,0.37,0.23
10001.jpg,16.24,3.35,10.44,0.23,3.67,0.02,0,0,14.4,3.01,45.83,0,0,2.77,0,0,0,0.04,0
10002.jpg,16.24,3.35,10.44,0.23,3.67,0.02,0,0,14.4,3.01,45.83,0,0,2.77,0,0,0,0.04,0
10003.jpg,15.22,2.92,27.06,8.3,1.13,0.03,0,0,3.99,1.05,37.41,0.13,0,2.76,0,0,0,0,0
10004.jpg,14.09,0.46,18.87,0.12,0.02,0.01,0,0,11.13,9.02,43.7,0,0,2.57,0,0,0,0.03,0
10005.jpg,16.24,3.35,10.44,0.23,3.67,0.02,0,0,14.4,3.01,45.83,0,0,2.77,0,0,0,0.04,0
10006.jpg,28.13,0.38,2.66,0.08,1.58,0.38,0,0.01,5.67,0.57,55.49,0.04,0.31,4.65,0,0,0,0.01,0.03
10007.jpg,28.13,0.38,2.66,0.08,1.58,0.38,0,0.01,5.67,0.57,55.49,0.04,0.31,4.65,0,0,0,0.01,0.03
10008.jpg,24.78,1.59,1.9,0.15,0.24,0.3,0,0.02,40.25,2.17,26.79,0.06,0,1.64,0,0,0,0.09,0
10009.jpg,20.35,2.69,1.74,0.58,0.14,0.1,0.01,0,56.23,3.79,10.02,0.01,0.09,3.84,0,0,0,0.4,0
1000.jpg,11.59,0.99,7.44,0,0.1,0.03,0,0,26.18,2.46,42.4,0,0,8.8,0,0,0,0.01,0
10010.jpg,25.05,1.3,1.01,0.09,0.77,0.86,0.28,0.19,18.5,1.96,46.14,0.01,0.03,3.26,0,0,0,0.37,0.18
10011.jpg,28.98,1.37,0.33,0.03,0,0.67,0.04,0.04,11.85,0.48,52.96,0,0,3.23,0,0,0,0.02,0
